,Alice Creek,Batavia 1,Batavia 2,Batavia 3,Bullshark camp,Chicane 1,Chicane 2,Chicane 3,Chicane 4,Chicane upper,Cloughs landing,Cloughs landing downstream,Cloughs upstream,Coolibah,Coolibah 2,Coolibah upstream,Coolibah waterpump,Cullen point,Cullen point N,Cullen point S,Dalhunty left,Dalhunty mouth,Dalhunty twin creeks,DUC1,DUC2,DUC2 2,Ducie 1,Ducie 2,Ducie 3,Ducie half way upper,Ducie Mouth AR,Ducie mouth downriver,Ducie mouth upstream,Ducie to PM AR,Gibsons waterhole,Hudson,Hudson junction,Hudson junction 2,Hudson left,Hudson mouth,Hudson to Tentpole,Hudson to Tentpole 2,Island downstream,Island downstream 2,Island haulout,Island haulout 2,Island midstream,Island midstream 2,Island midstream 3,Jabaru,Jabaru midstream,Jabaru midstream 2,Jabaru upstream 2,Jackson AR,Janie Creek AR,Jardines landing,Jut out downstream,Jut out downstream 2,Jut out midstream,Jut out midstream2,Jut out upstream,Kerr northwest AR,Kerr southeast AR,Ling creek,Ling creek 3,Ling creek downstream,Ling creek midstream,Ling creek upstream,Moreton campground,Namaleeda creek,Namaleeda downstream,Namaleeda upstream,Nimrod creek,No Name creek,Old shack,Old shack 2,Overhang,Pennefather AR,PM Cullen AR,PM Ducie Namaleeta AR,PM Mouth North AR,PM to Jaine AR,PM to Skarden,PM Wenlock AR,PM1,PM2,Processing plant,Processing plant 2,Riflebird bend,Riflebird bend downstream,Riflebird creek,Riflebird mid,Riflebird upstream,Rocky hole,Sandfly creek,Sandfly creek 1,Sandy bend,Sawfish,Sawfish new,Sawfish new 2,Skardon AR,Skardon metro,Skardon river,South Alice,Speartooth 1,Speartooth 2,Speartooth 3,Stones downstream,Stones far downstream,Stones upstream,Stones upstream 2,Tentpole creek,Tentpole mid,Tentpole mouth,Tentpole mouth 1,Tentpole mouth 2,Tentpole mouth 3,Tentpole upstream 1,Tentpole upstream 2,Top of islands,TPDSTWNMOR,TPMTNEW1,TPTWIN,TPTWIN2,TPUPP,Wenlock mouth A,Wenlock mouth B,Wenlock mouth B2,Wenlock Mouth B3,Wenlock tentpole mouth,WENMTH2M,WENMTM2M B,WNM,WNM2,WNM3,WNTH,Woodfords waterhole,WTTPDS
Ducie to PM AR,37.17422074,32.97005769,33.07716447,33.99137803,101.8930158,77.31118318,81.11240251,78.82834047,82.90945879,85.90651506,38.9783838,38.9783838,40.39259736,97.80895372,97.80895372,100.2231673,97.80895372,16.84629868,16.84629868,17.08772004,29.02031022,21.69482682,25.98893937,8.571067812,18.21787156,14.57939392,47.91808076,48.65655839,47.71808076,55.38498551,0,4.418376618,5.908326112,0,91.82905474,53.454834,53.49625535,53.49625535,53.73767671,53.83767671,48.61219331,48.99503602,54.12051942,54.32051942,61.40163774,61.30163774,57.83178926,57.73178926,57.83178926,110.129769,110.0883476,109.6469263,110.0883476,57.67442995,32.61269837,59.66904756,66.12001436,65.61290758,67.49280656,67.49280656,69.26559877,38.56955262,36.85533906,77.52245302,63.55727266,73.97686861,76.51534624,78.00529573,180.6787156,12.02081528,13.32792206,14.34213562,110.8368758,28.56883835,83.48935778,80.66803743,69.52417741,62.39402589,16.70487732,10.32375901,15.09066376,18.86761902,19.28477631,14.82497834,12.43086579,12.23086579,93.01900423,93.01900423,89.95626253,89.33199846,89.33199846,89.85626253,91.67047609,103.7628642,74.25971132,74.25971132,105.3942351,108.5569768,108.1741341,108.9983982,46.75067094,53.66610383,46.75067094,37.33990617,52.83056993,56.07615434,46.07371568,98.17880221,97.79595949,98.60306627,98.50306627,47.26366517,53.89625535,47.3394011,47.02224382,46.39797975,47.16366517,56.73473298,57.50041841,63.55727266,46.25655839,46.92224382,49.98498551,49.41930009,63.5430591,17.50487732,16.79777054,16.79777054,22.74751801,47.80508653,17.40487732,18.37056275,25.16883835,25.55168107,25.83452378,49.7021428,101.7344371,42.02102448
Gibsons waterhole,128.573124,59.26904756,58.78620485,59.26610383,14.42375901,13.44091629,10.11248917,11.26101731,8.091168825,5.376955262,52.38792924,52.38792924,51.47077195,10.83675324,10.83675324,13.66518036,10.83675324,95.45037508,95.45037508,95.35037508,119.4251009,112.0510893,116.8907863,99.01017306,108.8226622,105.34987,139.1856131,140.0069335,138.5713996,146.5696752,91.82905474,95.74448763,96.34743136,91.82905474,0,39.5884343,39.6884343,39.6884343,39.5884343,38.07422074,43.051176,43.06833329,37.79137803,37.70853532,30.427417,30.527417,34.28010819,34.32152955,34.28010819,21.91492783,21.87350647,21.43208512,21.87350647,135.3145453,109.8084487,149.0797257,25.93330445,26.55756852,24.41909089,24.41909089,22.64629868,117.2037805,115.0753534,14.30660172,28.61320344,17.76934342,15.3137085,13.74091629,92.96093065,90.90357134,92.37636354,93.55626253,22.62203461,118.0623592,8.256854249,11.07817459,22.42203461,138.9270345,94.06631304,88.48935778,93.47636354,96.57047609,97.58763338,87.65088014,80.24255403,82.05676759,5.052691193,5.052691193,1.872792206,2.638477631,2.638477631,2.055634919,3.869848481,15.63086579,17.48650071,17.48650071,17.09655121,20.25929291,19.8764502,20.86639969,124.9706853,131.8861182,124.9706853,126.9162697,38.99848481,41.92691193,45.75533906,10.12964646,9.746803743,10.47106781,10.37106781,45.67249635,54.97787873,44.66538957,45.9139177,46.67960313,45.77249635,57.89919908,58.6648845,28.61320344,48.49381669,46.0139177,51.31513703,50.74945161,64.45899705,74.07564928,74.69991334,74.69991334,68.9158513,43.85828278,74.25849199,73.12712114,66.49453096,67.01879503,66.6531096,41.96122651,13.76812409,49.64234483
Hudson,89.37047609,20.36345597,19.63208512,19.94629868,50.56366517,25.98183259,29.7002092,27.74751801,30.63452378,34.12863633,13.64802307,13.64802307,12.73086579,46.1139177,46.1139177,49.47371568,46.1139177,57.04183976,57.04183976,56.94183976,80.88519472,73.14549776,78.18519472,59.93889604,69.83422792,66.19575029,100.1971788,101.1013419,99.58296526,107.24987,53.454834,56.50752519,57.44183976,53.454834,39.5884343,0,0.1,0.1,0.282842712,1.43137085,4.759797975,4.776955262,1.43137085,1.63137085,9.078174593,8.978174593,5.4254834,5.3254834,5.4254834,57.72346315,57.7648845,57.24062043,57.7648845,97.85159441,72.09696962,111.1197185,13.87939392,13.45512986,15.25218613,15.25218613,16.94213562,79.16093065,77.19818895,25.3646753,11.39949494,21.81909089,24.35756852,25.84751801,128.9351514,52.77787873,54.08498551,54.93351365,58.51341264,79.60529573,31.33158005,28.51025971,17.36639969,101.4640836,56.354834,50.03229432,55.93056993,58.85899705,60.04183976,49.9394011,41.951176,43.84823228,40.86122651,40.86122651,37.88132752,37.17422074,37.17422074,37.69848481,39.59554108,51.4394011,22.01909089,22.01909089,52.82224382,56.06782823,55.68498551,56.67493501,87.75626253,94.83738085,87.75626253,88.79057711,1.189949494,2.621320344,7.298275606,45.85533906,45.55533906,46.19676042,46.09676042,7.381118318,17.01787156,6.374011537,7.622539674,8.388225099,7.481118318,20.10487732,20.87056275,11.39949494,10.20243866,7.722539674,13.18944443,12.62375901,26.91320344,35.78427125,36.57422074,36.57422074,30.45878785,5.484062043,35.88427125,34.83574311,28.0374675,28.56173157,28.36173157,3.669848481,49.49381669,11.26812409
Hudson junction,89.41189745,20.40487732,19.67350647,19.98772004,50.66366517,26.08183259,29.8002092,27.93036072,30.81736649,34.22863633,13.68944443,13.68944443,12.68944443,46.2139177,46.2139177,49.57371568,46.2139177,57.00041841,57.00041841,56.90041841,80.84377336,73.18691911,78.14377336,59.9803174,69.79280656,66.15432893,100.2386002,101.0599205,99.62438662,107.2912914,53.49625535,56.54894655,57.40041841,53.49625535,39.6884343,0.1,0,0,0.241421356,1.565685425,4.718376618,4.901219331,1.648528137,1.848528137,9.129646456,9.029646456,5.559797975,5.459797975,5.559797975,57.60924958,57.56782823,57.12640687,57.56782823,97.81017306,71.6413347,111.1611399,13.76518036,13.34091629,15.13797257,15.13797257,16.91076477,78.70529573,76.74255403,25.16761902,11.20243866,21.5391919,24.07766953,25.65046174,128.6552524,52.73645738,54.20924958,55.05777772,58.31635636,79.64671709,31.21736649,28.31320344,17.25218613,101.0084487,55.65067094,50.07371568,55.3920923,58.154834,59.58620485,49.31808076,41.74406922,43.47544007,40.66417023,40.66417023,37.51858582,36.89432175,36.89432175,37.41858582,39.3156421,51.32518754,21.7391919,21.7391919,52.79087297,55.95361467,55.57077195,56.47787873,87.13494219,93.96753237,87.13494219,88.66631304,1.23137085,2.497056275,7.339696962,45.7411255,45.35828278,46.16538957,46.06538957,7.256854249,16.72792206,6.249747468,7.415432893,8.181118318,7.356854249,19.56639969,20.33208512,11.20243866,9.995331881,7.515432893,12.81665222,12.2509668,26.54041123,35.49432175,36.03574311,36.03574311,30.25168107,5.608326112,35.59432175,34.54579362,27.83036072,28.27178208,28.07178208,3.628427125,49.29676042,11.30954544
Hudson junction 2,89.41189745,20.40487732,19.67350647,19.98772004,50.66366517,26.08183259,29.8002092,27.93036072,30.81736649,34.22863633,13.68944443,13.68944443,12.68944443,46.2139177,46.2139177,49.57371568,46.2139177,57.00041841,57.00041841,56.90041841,80.84377336,73.18691911,78.14377336,59.9803174,69.79280656,66.15432893,100.2386002,101.0599205,99.62438662,107.2912914,53.49625535,56.54894655,57.40041841,53.49625535,39.6884343,0.1,0,0,0.241421356,1.565685425,4.718376618,4.901219331,1.648528137,1.848528137,9.129646456,9.029646456,5.559797975,5.459797975,5.559797975,57.60924958,57.56782823,57.12640687,57.56782823,97.81017306,71.6413347,111.1611399,13.76518036,13.34091629,15.13797257,15.13797257,16.91076477,78.70529573,76.74255403,25.16761902,11.20243866,21.5391919,24.07766953,25.65046174,128.6552524,52.73645738,54.20924958,55.05777772,58.31635636,79.64671709,31.21736649,28.31320344,17.25218613,101.0084487,55.65067094,50.07371568,55.3920923,58.154834,59.58620485,49.31808076,41.74406922,43.47544007,40.66417023,40.66417023,37.51858582,36.89432175,36.89432175,37.41858582,39.3156421,51.32518754,21.7391919,21.7391919,52.79087297,55.95361467,55.57077195,56.47787873,87.13494219,93.96753237,87.13494219,88.66631304,1.23137085,2.497056275,7.339696962,45.7411255,45.35828278,46.16538957,46.06538957,7.256854249,16.72792206,6.249747468,7.415432893,8.181118318,7.356854249,19.56639969,20.33208512,11.20243866,9.995331881,7.515432893,12.81665222,12.2509668,26.54041123,35.49432175,36.03574311,36.03574311,30.25168107,5.608326112,35.59432175,34.54579362,27.83036072,28.27178208,28.07178208,3.628427125,49.29676042,11.30954544
Hudson left,89.65331881,20.64629868,19.91492783,20.22914139,50.56366517,25.98183259,29.7002092,27.83036072,30.63452378,34.12863633,13.93086579,13.93086579,13.0137085,46.1139177,46.1139177,49.47371568,46.1139177,57.32468248,57.32468248,57.22468248,81.16803743,73.34549776,78.46803743,60.22173875,70.11707063,66.478593,100.4800215,101.3841846,99.86580797,107.5327127,53.73767671,56.70752519,57.72468248,53.73767671,39.5884343,0.282842712,0.241421356,0.241421356,0,1.43137085,4.79411255,4.89411255,1.43137085,1.63137085,9.078174593,8.978174593,5.4254834,5.3254834,5.4254834,57.80630586,57.7648845,57.32346315,57.7648845,98.05159441,72.13128419,111.4854039,13.63086579,13.20660172,15.00365799,15.00365799,16.69360749,79.27808794,77.56387438,25.19898987,11.06812409,21.57056275,24.19188309,25.7646753,129.0179941,53.14356416,54.53351365,55.29919908,58.51341264,79.88813844,31.41442277,28.51025971,17.03502884,101.829769,56.30630586,50.48082246,55.88204179,58.81046891,59.8276262,49.89087297,42.06833329,44.04823228,40.86122651,40.86122651,37.88132752,37.25706345,37.25706345,37.69848481,39.42985566,51.60508653,21.85340546,21.85340546,53.07077195,56.15067094,55.85067094,56.67493501,87.62489168,94.54032457,87.62489168,88.90773439,1.389949494,2.421320344,7.415432893,46.02102448,45.72102448,46.44528855,46.34528855,7.249747468,16.88650071,6.242640687,7.574011537,8.256854249,7.432590181,19.80782105,20.49066376,11.06812409,10.15391052,7.674011537,13.05807358,12.57523087,26.61614716,35.90142853,36.44284989,36.44284989,30.65878785,5.518376618,36.00142853,35.03574311,28.2374675,28.67888886,28.47888886,3.787005769,49.65950212,11.13675324
Hudson mouth,89.67047609,20.74629868,20.01492783,20.32914139,48.9666089,24.63330445,28.26883835,26.39898987,29.56883835,32.89726548,14.03086579,14.03086579,13.1137085,44.88254685,44.88254685,48.04234483,44.88254685,57.34183976,57.34183976,57.24183976,81.35088014,73.61118318,78.56803743,60.32173875,70.13422792,66.578593,100.5800215,101.4841846,99.96580797,107.6327127,53.83767671,56.80752519,57.82468248,53.83767671,38.07422074,1.43137085,1.565685425,1.565685425,1.43137085,0,5.2254834,5.3254834,0.282842712,0.565685425,7.929646456,7.829646456,4.359797975,4.259797975,4.359797975,56.4920923,56.45067094,56.00924958,56.45067094,98.15159441,71.98275606,111.6682466,12.56518036,12.05807358,13.93797257,13.93797257,15.71076477,79.46093065,77.41534624,23.88477631,10.00243866,20.42203461,23.04335495,24.45046174,127.9523087,53.07787873,54.55067094,55.23351365,57.19919908,80.40235201,29.85168107,27.11320344,16.05218613,101.4327127,56.24062043,50.49797975,55.89919908,58.66194078,60.01046891,49.99087297,42.16833329,44.06538957,39.46417023,39.46417023,36.40142853,35.77716447,35.77716447,36.30142853,38.1156421,50.20803025,20.70487732,20.70487732,51.59087297,54.91930009,54.53645738,55.44356416,87.47636354,94.1432683,87.47636354,89.42194796,1.089949494,3.887005769,7.763961031,44.78965363,44.32396821,45.13107499,45.03107499,7.681118318,17.15218613,6.756854249,8.005382387,8.688225099,7.863961031,19.90782105,20.75634919,10.00243866,10.58528137,8.105382387,13.32375901,12.75807358,26.71614716,36.16711396,36.79137803,36.79137803,30.84163056,6.032590181,36.34995667,35.30142853,28.50315293,29.027417,28.74457429,4.135533906,48.34528855,11.6509668
Hudson to Tentpole,84.61067812,15.68650071,14.95512986,15.26934342,54.02640687,29.527417,33.41147904,31.45878785,34.54579362,37.87422074,8.888225099,8.888225099,7.805382387,49.69381669,49.69381669,53.18498551,49.69381669,52.3648845,52.3648845,52.09919908,76.04255403,68.55138521,73.34255403,55.17909806,65.07442995,61.51879503,95.35453814,96.34154391,94.82316729,102.490072,48.61219331,51.83056993,52.7648845,48.61219331,43.051176,4.759797975,4.718376618,4.718376618,4.79411255,5.2254834,0,0.382842712,5.342640687,5.542640687,12.98944443,12.72375901,9.253910524,9.153910524,9.253910524,61.63473298,61.59331163,61.15189027,61.59331163,93.17463915,67.42001436,106.6084487,17.79066376,17.36639969,19.08061325,19.08061325,20.93624817,74.5668181,72.52123369,29.27594514,15.22792206,25.89604615,28.35168107,29.84163056,132.7292639,48.10092347,49.49087297,50.42224382,62.34183976,75.09402589,35.3256926,32.42152955,21.36051224,96.86997103,51.34650788,45.68670991,51.25361467,53.76782823,55.28204179,45.17960313,37.0256926,38.83990617,44.60681092,44.60681092,41.70975465,41.00264787,41.00264787,41.52691193,43.25828278,55.35067094,26.09604615,26.09604615,56.89919908,59.97909806,59.67909806,60.50336213,82.83077913,90.07758287,82.83077913,84.19646456,3.969848481,7.298275606,2.621320344,49.68376618,49.38376618,50.02518754,49.92518754,2.621320344,12.09238816,1.614213562,2.779898987,3.545584412,2.721320344,15.17939392,15.94507935,15.22792206,5.442640687,2.879898987,8.181118318,7.698275606,21.82203461,30.94163056,31.56589463,31.56589463,25.61614716,0.807106781,31.04163056,29.91025971,23.36051224,23.96761902,23.6019336,1.007106781,53.40508653,6.4254834
Hudson to Tentpole 2,84.99352083,16.06934342,15.33797257,15.65218613,54.12640687,29.627417,33.51147904,31.64163056,34.72863633,38.05706345,9.271067812,9.271067812,8.271067812,49.79381669,49.79381669,53.28498551,49.79381669,52.6648845,52.6648845,52.5648845,76.34255403,68.93422792,73.80823946,55.56194078,65.54011537,61.98448045,95.73738085,96.64154391,95.28885271,102.9557575,48.99503602,52.29625535,53.14772721,48.99503602,43.06833329,4.776955262,4.901219331,4.901219331,4.89411255,5.3254834,0.382842712,0,5.5254834,5.642640687,12.92375901,12.74091629,9.271067812,9.171067812,9.271067812,61.07199128,61.03056993,60.58914857,61.03056993,93.55748186,67.63717165,106.4942351,17.72497834,17.30071427,19.01492783,19.01492783,20.70487732,74.8668181,72.9040764,29.127417,15.07939392,25.6646753,28.20315293,29.69310242,132.7807358,48.89797975,50.28792924,51.13645738,61.77909806,75.39402589,35.01147904,32.27300141,21.12914139,97.0042856,51.7293506,45.82102448,51.55361467,54.15067094,55.83056993,45.47960313,37.57422074,39.3884343,44.20975465,44.20975465,41.31269837,40.60559159,40.60559159,41.12985566,42.86122651,54.70508653,25.8646753,25.8646753,56.17077195,59.41635636,59.11635636,60.02346315,82.38519472,89.30062761,82.38519472,84.41362184,4.069848481,7.232590181,2.838477631,49.2038672,48.9038672,49.62813127,49.44528855,2.921320344,12.47523087,1.83137085,3.1627417,3.845584412,3.021320344,15.56223664,16.32792206,15.07939392,5.659797975,3.2627417,8.563961031,8.081118318,22.12203461,31.24163056,31.86589463,31.86589463,26.08183259,1.107106781,31.42447327,30.45878785,23.66051224,24.18477631,23.9019336,1.107106781,52.84234483,6.7254834
Island downstream,89.95331881,21.02914139,20.29777054,20.6119841,48.7666089,24.35046174,28.06883835,26.11614716,29.28599564,32.61442277,14.3137085,14.3137085,13.39655121,44.68254685,44.68254685,47.75950212,44.68254685,57.62468248,57.62468248,57.52468248,81.55088014,73.89402589,78.85088014,60.60458146,70.41707063,66.86143571,100.8628642,101.7670273,100.2486507,107.9155554,54.12051942,57.0903679,58.10752519,54.12051942,37.79137803,1.43137085,1.648528137,1.648528137,1.43137085,0.282842712,5.342640687,5.5254834,0,0.282842712,7.481118318,7.463961031,3.911269837,3.811269837,3.911269837,56.04356416,56.08498551,55.56072145,56.08498551,98.10306627,72.09991334,111.1226622,12.28233765,11.77523087,13.65512986,13.65512986,15.34507935,79.41240251,77.86387438,23.85046174,9.719595949,20.1391919,22.76051224,24.41614716,126.7581961,53.11219331,54.58498551,55.26782823,56.83351365,79.69108217,29.65168107,26.91320344,15.68650071,101.8812409,56.35777772,50.69797975,55.68498551,58.86194078,59.79625535,49.94234483,42.11980515,43.851176,38.93279938,38.93279938,36.11858582,35.41147904,35.41147904,36.01858582,37.66711396,49.75950212,20.3391919,20.3391919,51.14234483,54.47077195,54.08792924,54.91219331,87.59352083,94.42611101,87.59352083,88.62783541,1.124264069,3.769848481,7.549747468,44.17544007,43.79259736,44.59970414,44.49970414,7.632590181,17.18650071,6.6254834,7.874011537,8.722539674,7.815432893,20.27350647,21.0391919,9.719595949,10.45391052,7.974011537,13.44091629,12.95807358,26.91614716,35.78721497,36.57716447,36.57716447,30.79310242,5.818376618,35.97005769,35.00437226,28.37178208,28.81320344,28.61320344,4.087005769,47.73107499,11.60243866
Island downstream 2,90.23616152,21.22914139,20.49777054,20.89482682,48.68376618,24.26761902,27.98599564,26.03330445,29.28599564,32.61442277,14.5137085,14.5137085,13.67939392,44.59970414,44.59970414,47.6766594,44.59970414,57.82468248,57.82468248,57.72468248,81.83372286,74.09402589,79.05088014,60.88742418,70.61707063,67.06143571,101.0628642,101.9670273,100.5314934,108.1983982,54.32051942,57.2903679,58.30752519,54.32051942,37.70853532,1.63137085,1.848528137,1.848528137,1.63137085,0.565685425,5.542640687,5.642640687,0.282842712,0,7.646803743,7.546803743,3.911269837,3.811269837,3.911269837,56.37493501,56.33351365,55.8920923,56.33351365,98.22022356,72.38275606,111.9854039,12.28233765,11.85807358,13.65512986,13.65512986,15.51076477,80.02661608,78.06387438,23.85046174,9.719595949,20.1391919,22.76051224,24.33330445,128.1665222,53.80924958,55.28204179,56.21341264,57.08204179,80.96803743,29.73452378,26.91320344,15.85218613,102.0812409,56.88914857,51.06366517,56.4648845,59.2276262,60.65899705,50.6394011,42.81686143,44.54823228,39.18132752,39.18132752,36.28427125,35.57716447,35.57716447,36.10142853,37.83279938,50.00803025,20.42203461,20.42203461,51.55655839,54.71930009,54.41930009,55.32640687,88.70479067,95.70306627,88.70479067,89.65626253,1.572792206,4.252691193,8.246803743,44.3411255,43.95828278,44.76538957,44.66538957,8.163961031,17.63502884,7.156854249,8.405382387,9.171067812,8.263961031,20.6391919,21.40487732,9.719595949,10.90243866,8.505382387,13.80660172,13.32375901,27.28183259,36.48427125,37.43990617,37.43990617,31.32447327,6.432590181,36.9156421,35.70142853,28.98599564,29.51025971,29.227417,4.535533906,47.97960313,12.13380951
Island haulout,97.48296526,28.51025971,28.027417,28.17594514,41.31980515,16.98650071,20.62203461,18.83502884,21.8391919,25.08477631,21.79482682,21.79482682,20.7119841,37.40142853,37.40142853,40.31269837,37.40142853,64.85727266,64.85727266,65.08864351,88.91484117,81.45798693,86.21484117,68.33422792,77.98103166,74.42539674,108.3439826,109.2481456,107.8954544,115.6452019,61.40163774,64.90285707,65.67148622,61.40163774,30.427417,9.078174593,9.129646456,9.129646456,9.078174593,7.929646456,12.98944443,12.92375901,7.481118318,7.646803743,0,0.1,4.018376618,3.976955262,4.018376618,48.81097398,48.85239533,48.32813127,48.85239533,105.7983982,79.38103166,118.9008368,4.884062043,4.542640687,6.256854249,6.256854249,7.946803743,86.69352083,85.14499269,16.20365799,2.321320344,12.74091629,15.19655121,16.68650071,119.8226622,60.64183976,62.11463197,62.8803174,49.60092347,87.30357134,22.33624817,19.43208512,8.371067812,108.9966738,63.88742418,57.97909806,63.29747468,66.30874452,67.40874452,57.554834,49.64945161,51.6293506,31.86589463,31.86589463,28.96883835,28.26173157,28.26173157,28.78599564,30.51736649,42.60975465,12.94091629,12.94091629,43.99259736,47.23818177,46.77249635,47.76244584,95.20601,102.0386002,95.20601,96.48885271,8.819595949,11.58233765,15.41076477,36.94284989,36.56000718,37.28427125,37.18427125,15.24507935,24.9646753,14.23797257,15.56934342,16.25218613,15.42792206,27.96883835,28.56883835,2.321320344,18.1492424,15.66934342,20.97056275,20.40487732,34.52863633,43.151176,44.02396821,44.02396821,37.99137803,13.43086579,43.251176,42.28549058,35.57005769,36.09432175,35.81147904,11.69949494,40.58132752,19.13208512
Island haulout 2,97.38296526,28.41025971,27.927417,28.07594514,41.41980515,17.08650071,20.80487732,18.93502884,21.9391919,25.26761902,21.69482682,21.69482682,20.6119841,37.50142853,37.50142853,40.41269837,37.50142853,64.75727266,64.75727266,64.98864351,88.81484117,81.27514421,86.11484117,68.23422792,77.88103166,74.32539674,108.2439826,109.1481456,107.7954544,115.5452019,61.30163774,64.80285707,65.48864351,61.30163774,30.527417,8.978174593,9.029646456,9.029646456,8.978174593,7.829646456,12.72375901,12.74091629,7.463961031,7.546803743,0.1,0,3.752691193,3.79411255,3.752691193,48.74528855,48.7038672,48.26244584,48.7038672,104.9528137,78.70113268,118.9665222,4.984062043,4.559797975,6.356854249,6.356854249,7.963961031,86.26214998,84.05088014,16.30365799,2.421320344,12.92375901,15.37939392,16.78650071,120.1711904,60.04478349,61.5175757,62.28326112,49.45239533,87.03788591,22.18772004,19.36639969,8.388225099,108.1510893,63.04183976,57.4648845,62.6175757,65.46316011,66.97737367,56.54356416,49.30092347,51.28082246,31.71736649,31.71736649,28.57178208,27.94751801,27.94751801,28.47178208,30.28599564,42.54406922,13.20660172,13.20660172,43.92691193,47.08965363,46.70681092,47.69676042,94.27758287,101.1101731,94.27758287,96.14032457,8.471067812,11.23380951,14.64802307,36.79432175,36.41147904,37.21858582,37.03574311,14.97939392,24.61614716,13.88944443,15.22081528,15.90365799,15.07939392,27.45462479,28.22031022,2.421320344,17.80071427,15.32081528,20.5391919,20.05634919,34.18010819,43.21686143,43.59259736,43.59259736,37.7256926,13.08233765,43.31686143,42.18549058,35.38721497,35.99432175,35.62863633,11.3509668,40.43279938,18.61787156
Island midstream,93.74743136,24.94041123,24.3747258,24.52325394,45.25533906,20.92203461,24.64041123,22.77056275,25.85756852,29.02031022,18.30782105,18.30782105,17.22497834,41.25411973,41.25411973,44.24823228,41.25411973,61.37026689,61.37026689,61.43595231,85.17930727,77.88813844,82.56214998,64.68153673,74.32834047,70.77270555,104.6912914,105.6782971,104.2427632,111.909668,57.83178926,61.08448045,61.93595231,57.83178926,34.28010819,5.4254834,5.559797975,5.559797975,5.4254834,4.359797975,9.253910524,9.271067812,3.911269837,3.911269837,4.018376618,3.752691193,0,0.1,0,52.41513703,52.37371568,51.93229432,52.37371568,102.3113924,75.56265504,114.9167748,8.239696962,7.815432893,9.612489168,9.612489168,11.30243866,83.12367235,81.4923015,19.4764502,5.759797975,16.09655121,18.55218613,20.04213562,122.8469263,57.32051942,58.87615434,59.47615434,53.12224382,83.89940828,25.60904038,22.70487732,11.72670273,105.509668,59.98620485,54.4920923,59.31341264,62.4903679,63.50752519,53.40508653,46.24528855,48.05950212,35.30437226,35.30437226,32.24163056,31.53452378,31.53452378,32.14163056,33.95584412,46.04823228,16.29655121,16.29655121,47.59676042,50.75950212,50.3766594,51.3666089,90.47636354,97.47463915,90.47636354,92.91900423,4.835533906,7.563961031,11.34386002,40.54701295,40.24701295,40.97127702,40.87127702,11.42670273,20.81492783,10.41959595,11.66812409,12.43380951,11.52670273,23.81909089,24.58477631,5.759797975,14.16518036,11.76812409,17.06934342,16.50365799,30.79310242,39.66417023,40.53696244,40.53696244,34.67005769,9.612489168,39.76417023,38.88132752,32.24873734,32.77300141,32.4901587,7.798275606,44.18549058,15.39655121
Island midstream 2,93.64743136,24.84041123,24.2747258,24.42325394,45.29676042,20.88061325,24.59898987,22.72914139,25.81614716,29.06173157,18.20782105,18.20782105,17.12497834,41.21269837,41.21269837,44.28965363,41.21269837,61.27026689,61.27026689,61.33595231,85.07930727,77.78813844,82.46214998,64.58153673,74.22834047,70.67270555,104.5912914,105.5782971,104.1427632,111.809668,57.73178926,60.98448045,61.83595231,57.73178926,34.32152955,5.3254834,5.459797975,5.459797975,5.3254834,4.259797975,9.153910524,9.171067812,3.811269837,3.811269837,3.976955262,3.79411255,0.1,0,0.1,52.29087297,52.24945161,51.80803025,52.24945161,102.2113924,76.04255403,115.8108873,8.695331881,8.271067812,9.985281374,9.985281374,11.67523087,83.02367235,81.22661608,19.8492424,6.132590181,16.46934342,18.92497834,20.41492783,123.0540331,57.22051942,58.61046891,59.37615434,52.99797975,84.29646456,25.89898987,23.07766953,12.01665222,105.8238816,60.2175757,54.72346315,59.79331163,62.72173875,64.1531096,54.05067094,46.31097398,48.20803025,35.42863633,35.42863633,32.44873734,31.74163056,31.74163056,32.34873734,34.08010819,46.00681092,16.66934342,16.66934342,47.38965363,50.63523805,50.25239533,51.24234483,91.20479067,98.20306627,91.20479067,93.39890322,4.818376618,7.463961031,11.40954544,40.50559159,40.12274888,40.84701295,40.74701295,11.49238816,20.71492783,10.40243866,11.6509668,12.41665222,11.59238816,23.63624817,24.4019336,6.132590181,14.14802307,11.7509668,17.13502884,16.56934342,30.527417,39.89554108,40.60264787,40.60264787,34.6529004,9.678174593,40.0783838,39.02985566,32.23158005,32.75584412,32.47300141,7.863961031,44.14406922,15.46223664
